cena,odpad,termin_h,czas_produkcji_h,ksztalt,material,x,y,z,lateness_h_sim
228.92557034879175,0.21442598293318374,88.924,45.397,trojkat,mikrofibra,35.0,30.0,0.3,6518.828
373.30427629514753,0.03561272865273344,103.561,46.582,trapez,mikrofibra,40.0,25.0,0.3,15246.632
298.71818407334536,0.17845421385057286,57.601,8.979,kwadrat,bawelna,30.0,30.0,0.3,8057.079
481.93826122105486,0.23814543117241188,33.331,8.164,trapez,bawelna,40.0,25.0,0.3,8429.116
383.8533471314218,0.10199155913797445,58.004,25.741,trapez,bawelna,40.0,25.0,0.3,9781.616
444.86152099451687,0.11854658924169151,11.691,1.355,trapez,mikrofibra,40.0,25.0,0.3,2036.496
226.7288344721373,0.04841020751651493,89.247,43.027,trojkat,mikrofibra,35.0,30.0,0.3,3772.411
119.67287566897393,0.16711215398251053,84.519,38.497,trojkat,bawelna,35.0,30.0,0.3,8599.461
244.76720099426117,0.11144017878731304,94.168,26.379,trapez,bawelna,40.0,25.0,0.3,9436.081
391.4493141907963,0.04820387541355355,42.919,23.557,kwadrat,mikrofibra,30.0,30.0,0.3,10783.345
420.1406574728885,0.09690820372622816,50.235,38.573,kwadrat,mikrofibra,30.0,30.0,0.3,7599.618
283.4154474712677,0.20515993555060297,50.657,32.651,kwadrat,bawelna,30.0,30.0,0.3,17566.317
155.39151691685038,0.2965262981890443,40.681,12.028,trojkat,mikrofibra,35.0,30.0,0.3,3387.81
355.0159401395199,0.1797906348418313,60.332,20.635,kwadrat,bawelna,30.0,30.0,0.3,9443.538
206.64301692572963,0.29260294004372117,83.259,11.519,kwadrat,bawelna,30.0,30.0,0.3,5229.99
411.71654533705106,0.00835567224632232,56.766,26.828,trapez,mikrofibra,40.0,25.0,0.3,16492.771
348.3712363115401,0.09356383072911757,43.048,31.248,trojkat,bawelna,35.0,30.0,0.3,1445.792
222.9597673358607,0.19759840648193008,29.75,12.62,kwadrat,bawelna,30.0,30.0,0.3,18384.521
249.1454816666355,0.06944256412958943,64.122,11.72,trojkat,mikrofibra,35.0,30.0,0.3,15413.078
296.9863992848102,0.2076033767839964,65.206,10.675,kwadrat,bawelna,30.0,30.0,0.3,14370.665
405.1817817438585,0.2612065366372318,84.604,34.727,trojkat,bawelna,35.0,30.0,0.3,16821.779
370.67959989433075,0.2503715370766883,45.368,8.499,trojkat,mikrofibra,35.0,30.0,0.3,13113.574
444.3437449140402,0.11837169459567713,7.54,4.733,trapez,mikrofibra,40.0,25.0,0.3,4933.28
463.29189446543387,0.14042071627028704,75.394,37.233,trojkat,bawelna,35.0,30.0,0.3,17695.737
455.8730885371175,0.2785891686346182,65.256,16.834,kwadrat,bawelna,30.0,30.0,0.3,17158.098
352.1656169002431,0.2522726131208721,53.143,31.039,trojkat,bawelna,35.0,30.0,0.3,1592.778
483.5746583994147,0.19771362303966972,52.253,11.841,trapez,mikrofibra,40.0,25.0,0.3,14290.725
131.72628549047118,0.055719921601555686,41.964,11.303,kwadrat,bawelna,30.0,30.0,0.3,15697.885
387.92290926349324,0.24708708322469203,89.081,23.976,trojkat,bawelna,35.0,30.0,0.3,10504.421
344.8281715359521,0.29214012400714484,75.883,28.571,kwadrat,bawelna,30.0,30.0,0.3,14872.292
60.617734090488106,0.06323793046500858,37.383,7.087,trapez,bawelna,40.0,25.0,0.3,10830.763
431.79142059073615,0.023681820883966663,80.071,35.385,trojkat,bawelna,35.0,30.0,0.3,10636.761
362.12812586320786,0.15742069129842964,76.715,7.238,kwadrat,mikrofibra,30.0,30.0,0.3,6065.334
283.65105685109233,0.20138124756873974,80.349,36.54,kwadrat,bawelna,30.0,30.0,0.3,14455.99
309.7051637172444,0.2281726927365847,98.838,36.768,trojkat,mikrofibra,35.0,30.0,0.3,14140.075
422.85001905773663,0.1012362836892687,72.222,21.125,kwadrat,mikrofibra,30.0,30.0,0.3,2269.472
497.66868228467797,0.058925764761605215,87.079,34.284,trapez,bawelna,40.0,25.0,0.3,16227.143
318.9507272162164,0.012574565014877259,84.858,16.371,trojkat,mikrofibra,35.0,30.0,0.3,4515.914
208.83132655356047,0.1841910918975698,73.043,3.683,kwadrat,bawelna,30.0,30.0,0.3,19539.612
422.37784394294954,0.26866885443955163,66.55,41.75,trapez,mikrofibra,40.0,25.0,0.3,13765.863
170.3309125358936,0.1064693050459662,49.089,3.266,kwadrat,mikrofibra,30.0,30.0,0.3,7183.561
183.78085563830012,0.24440130141299676,75.457,19.512,kwadrat,bawelna,30.0,30.0,0.3,4022.999
125.12888993623942,0.13268814163534057,60.78,6.667,trapez,mikrofibra,40.0,25.0,0.3,1763.75
266.400565971354,0.22507972918165267,58.088,43.023,trojkat,bawelna,35.0,30.0,0.3,12845.37
477.9178675261468,0.13988982388194562,49.853,40.705,trojkat,mikrofibra,35.0,30.0,0.3,3350.612
313.0020093908417,0.025238298677814852,34.356,27.664,kwadrat,mikrofibra,30.0,30.0,0.3,1184.355
229.56589293909562,0.20323142136848835,27.378,11.682,trojkat,mikrofibra,35.0,30.0,0.3,1808.834
365.5264377156169,0.08998262093310679,77.7,7.184,trapez,bawelna,40.0,25.0,0.3,17171.159
473.5043656401531,0.10032035369662459,25.852,13.886,trapez,bawelna,40.0,25.0,0.3,8765.968
128.8497974476223,0.2731817151643265,68.078,28.353,trapez,mikrofibra,40.0,25.0,0.3,10838.439
358.4497474498557,0.24171435770046534,10.808,2.954,kwadrat,mikrofibra,30.0,30.0,0.3,18967.907
179.35774920376255,0.28154464746424634,87.698,27.819,kwadrat,mikrofibra,30.0,30.0,0.3,3398.595
191.0065629133144,0.0043144338216255075,30.713,2.595,trojkat,bawelna,35.0,30.0,0.3,2107.396
90.18028603650782,0.16901860521379203,45.495,41.516,trojkat,bawelna,35.0,30.0,0.3,4226.295
320.6992456849208,0.2452223541918328,62.14,22.743,kwadrat,bawelna,30.0,30.0,0.3,4168.134
293.7924339204035,0.2786578649536697,36.324,7.88,kwadrat,mikrofibra,30.0,30.0,0.3,713.233
464.44753449345916,0.0814899543823109,32.019,23.873,trojkat,mikrofibra,35.0,30.0,0.3,10986.767
294.91428475116396,0.06680282373692549,63.561,13.813,trapez,mikrofibra,40.0,25.0,0.3,4806.031
417.5507599275362,0.2806453540582487,111.64,41.974,trojkat,bawelna,35.0,30.0,0.3,5868.175
334.13851454826937,0.06045851340189385,59.625,34.311,kwadrat,bawelna,30.0,30.0,0.3,18000.788
147.9503298112412,0.18027360169772583,49.222,3.734,kwadrat,mikrofibra,30.0,30.0,0.3,18166.394
207.7342404287728,0.19914734245581753,14.724,5.966,trapez,mikrofibra,40.0,25.0,0.3,3477.535
55.47054716482406,0.10425563859412638,100.809,38.866,kwadrat,mikrofibra,30.0,30.0,0.3,16591.891
50.60913157196067,0.25576422637379115,61.72,28.868,kwadrat,bawelna,30.0,30.0,0.3,7656.499
368.47460762038736,0.024681697283118562,88.145,41.977,kwadrat,bawelna,30.0,30.0,0.3,3575.498
454.3522721036777,0.0688097331113017,93.16,42.771,trojkat,mikrofibra,35.0,30.0,0.3,11629.405
344.5928090896795,0.07032768000345441,71.561,33.405,kwadrat,bawelna,30.0,30.0,0.3,92.813
401.2842728415007,0.19857408979110344,17.016,10.378,kwadrat,bawelna,30.0,30.0,0.3,18152.793
370.2752625857219,0.2854334476989276,59.517,4.165,trojkat,mikrofibra,35.0,30.0,0.3,18791.041
105.31430530942441,0.1105041641383054,20.438,16.709,trojkat,mikrofibra,35.0,30.0,0.3,1898.483
